ID_TEXT,ID_TEXT,CIUDAD,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES,PROGRAMAS DE BECAS,COSTO DE COLEGIATURA Y OPCIONES DE PAGO,"INSTALACIONES, AULAS Y LABORATORIOS",PLAN DE ESTUDIOS,AMBIENTE ESTUDIANTIL,ACREDITACIONES Y CERTIFICACIONES,UBICACIÓN DEL CAMPUS,MODALIDADES HÍBRIDAS (PRESENCIAL Y ONLINE),MODALIDADES ONLINE,VALORES INSTITUCIONALES
Entrevistado_102,Entrevistado_102,LEÓN,Primera mención,LA SALLE,5.0,8.0,4.0,9.0,6.4,5.8,8.0,6.5,7.7,5.0,7.5,7.3,7.3,6.9
Entrevistado_103,Entrevistado_103,MEXICALI,Primera mención,UAD,8.0,6.0,7.8,8.0,6.4,7.0,6.4,10.0,7.7,6.4,7.5,5.0,7.3,6.9
Entrevistado_104,Entrevistado_104,ZAMORA,Primera mención,UNIVER,9.0,10.0,10.0,9.0,6.4,5.8,7.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_105,Entrevistado_105,CULIACÁN,Primera mención,ITESM,7.0,10.0,7.8,8.0,6.4,5.8,10.0,6.5,7.7,6.4,7.5,5.0,6.0,6.9
Entrevistado_106,Entrevistado_106,VILLAHERMOSA,Primera mención,UVM,10.0,10.0,2.0,9.0,6.4,7.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_107,Entrevistado_107,TUXTLA GUTIÉRREZ,Primera mención,UVM,10.0,8.0,10.0,10.0,6.0,5.8,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_108,Entrevistado_108,VILLAHERMOSA,Primera mención,OTRAS1,9.0,8.0,2.0,9.0,6.4,10.0,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_109,Entrevistado_109,GUADALAJARA,Primera mención,UNIVA,8.4,8.0,10.0,10.0,6.4,5.8,6.4,9.0,7.7,6.4,7.5,7.3,7.0,6.9
Entrevistado_110,Entrevistado_110,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,8.4,8.0,10.0,6.0,8.0,5.8,4.0,6.5,9.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_111,Entrevistado_111,COATZACOALCOS,Primera mención,OTRAS1,6.0,7.0,7.8,10.0,6.4,5.8,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.0
